,L-Precision,L-Recall,L-Measure,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRHEWTX149E3B0DFC6,0.5604162720796503,0.6585175210059233,0.6055192436450306,0.6748934527417311,0.6801775343970786,0.6775251909656278,Reference,Estimate
TRHFQYU149E36951C9,0.49100128083906897,0.43128251774856485,0.45920847561743816,0.4844484769634143,0.515780801895617,0.49962389465408924,Reference,Estimate
TRHGBUI149E3750D37,0.49845884145673286,0.4468947980166156,0.4712705467479885,0.5134752778131789,0.4934196516953027,0.5032477278565803,Reference,Estimate
TRHGSPN149E3C7430F,0.6293777967579337,0.7118283688411539,0.6680687607052915,0.6368890317274282,0.6938332733470673,0.6641427741267896,Reference,Estimate
TRHGTEW149E352675E,0.5398101880102016,0.4225158774781033,0.4740147512122482,0.6185920828539492,0.7387333767133901,0.6733456813232284,Reference,Estimate
TRHIGBX149E352A28A,0.5097901134823589,0.6234122272656872,0.560904930489772,0.7309849373337148,0.6142311164366352,0.6675413854873633,Reference,Estimate
TRHIILF149E340D4D9,0.7004368672279766,0.7039835982395097,0.7022057542669387,0.8048069963807586,0.8091421360286907,0.8069687440151061,Reference,Estimate
TRHIUSN149E2E80359,0.6752767045576057,0.694467617857377,0.6847377232882197,0.7377196410005173,0.7301165859302398,0.7338984224244638,Reference,Estimate
TRHJBCZ149E3A4C967,0.4244324119238516,0.5066883058593952,0.4619270855910123,0.5699558899117991,0.5408460039472414,0.5550195173219753,Reference,Estimate
TRHKBES149E3AD0CAF,0.7162910387093308,0.7287880891179556,0.7224855266412514,0.7597346901037221,0.7011538569452885,0.7292697438109045,Reference,Estimate
TRHKCYY149E3C6521A,0.4918103265451519,0.6091383949802764,0.5442225365979866,0.5948184098832621,0.6207464448854149,0.6075059045001684,Reference,Estimate
TRHKGAF149E3C232F0,0.4673709194368263,0.6360364042562854,0.5388126626849011,0.7492918084303161,0.7493036590710778,0.7492977337038405,Reference,Estimate
TRHLPFC149E31701C9,0.8613189622730476,0.8052719886588809,0.8323530536768773,0.8684409403685995,0.8609160385041312,0.8646621179905732,Reference,Estimate
