,Expanded L-Measure,Expanded L-Precision,Expanded L-Recall,L-Measure,L-Precision,L-Recall,est_name,ref_name
03_-_Anna_(Go_To_Him),0.9304628953215752,0.9316245131091415,0.9293041707071379,0.9253404175999734,0.9261206168882237,0.9245615317444419,Isophonics,TUT
13_-_There's_A_Place,0.8458820260813276,0.8392401061992596,0.8526299156867142,0.8149061512775948,0.8128240490064554,0.8169989478266975,Isophonics,TUT
10_-_Baby_It's_You,0.6923418739702767,0.6778252399162151,0.7074939065775822,0.6782663945875783,0.6671508262512561,0.6897586373722591,Isophonics,TUT
05_-_Boys,0.9051125838996262,0.9064890888079076,0.9037402531020847,0.9045427802547076,0.9047425976803588,0.9043430510711432,Isophonics,TUT
06_-_Ask_Me_Why,0.7882290231059692,0.7668632153193874,0.8108195105165458,0.8819036479451235,0.8825193561239142,0.8812887982908705,Isophonics,TUT
08_-_Love_Me_Do,0.8379130956973422,0.7993149040695435,0.8804281735261925,0.9118593709904542,0.9540630503882065,0.8732313415696733,Isophonics,TUT
12_-_A_Taste_Of_Honey,0.7686210491037271,0.77630361839718,0.761089048460272,0.7527695031012752,0.7806005465606587,0.7268546810998358,Isophonics,TUT
04_-_Chains,0.9744235628654999,0.9748264819443303,0.9740209767212261,0.973870032802664,0.9746959102508264,0.9730455537313868,Isophonics,TUT
14_-_Twist_And_Shout,0.9051664990085669,0.9076613609913693,0.9026853145377258,0.900723686689515,0.9072880372438598,0.8942536417337017,Isophonics,TUT
09_-_P._S._I_Love_You,0.9596220353212838,0.9615363169581431,0.9577153606633201,0.9582358585881757,0.962080919508033,0.9544214097313067,Isophonics,TUT
11_-_Do_You_Want_To_Know_A_Secret,0.9139633584628915,0.9072654590340941,0.9207608880777416,0.8978297329769749,0.8761768281197807,0.9205799699883458,Isophonics,TUT
01_-_I_Saw_Her_Standing_There,0.7383873617016298,0.7194968622531973,0.758296552924378,0.644506958856728,0.6475360001190187,0.6415061241237928,Isophonics,TUT
13_-_She_Came_In_Through_The_Bathroom_Window,0.7903614606295244,0.793928368801136,0.7868264594403667,0.664348228556212,0.7046009257510168,0.6284461301409328,Isophonics,TUT
14_-_Dizzy_Miss_Lizzy,0.8209650200525023,0.8670824228017943,0.7795055569497866,0.6203690490723583,0.6824868747673828,0.5686154455389214,Isophonics,TUT
06_-_You're_Going_To_Lose_That_Girl,0.8724247741821848,0.89104001571297,0.8545714195629301,0.7173761383814108,0.7567314536590607,0.6819119588468456,Isophonics,TUT
CD1_-_06_-_The_Continuing_Story_of_Bungalow_Bill,0.8204305218234154,0.8382680678886183,0.8033362907054389,0.7863298851357152,0.7861706593886252,0.7864891753929062,Isophonics,TUT
CD2_-_04_-_Everybody's_Got_Something_To_Hide_Except_Me_and_My_Monkey,0.986402235030607,0.9846915431067468,0.9881188812247967,0.9856109206072671,0.9840086956915048,0.9872183717196333,Isophonics,TUT
