,thirds,thirds_inv,triads,triads_inv,tetrads,tetrads_inv,root,mirex,majmin,majmin_inv,sevenths,sevenths_inv,underseg,overseg,seg,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRUDNXJ149E2B85817,0.8458426344359663,0.8114196170504052,0.8328973623619027,0.7984743449763416,0.5933681085951845,0.587525373165494,0.8470050933138138,0.861684960472246,0.8299105311185784,0.7942733778080106,0.5923797648236931,0.5862223608601851,0.8992859621303328,0.7661472335260797,0.7661472335260797,0.7078275670698895,0.764236798280416,0.7349513870793006,Reference,Estimate
TRUDQAQ149E34F1B82,0.9398073668596507,0.9337529407595976,0.9398073668596507,0.9337529407595976,0.7228465339851727,0.7167921078851198,0.9505891191778014,0.9398073668596507,0.9398073668596507,0.9337529407595976,0.7228465339851727,0.7167921078851198,0.9581673429312051,0.7496848547415988,0.7496848547415988,0.7435707660610391,0.8916090256104584,0.810888698083048,Reference,Estimate
TRUEIEJ127FA6DE0E5,0.9519047561640688,0.9519047561640688,0.9519047561640688,0.9519047561640688,0.5968157639427079,0.5968157639427079,0.9598464594276526,0.9519047561640688,0.9519047561640688,0.9519047561640688,0.5968157639427079,0.5968157639427079,0.9475366227503654,0.5296919601595912,0.5296919601595912,0.7366695170632133,0.7810934279455222,0.758231343357201,Reference,Estimate
TRUEMQB149E3465DA5,0.9343985701224686,0.9135660251300713,0.9052330071331124,0.9052330071331124,0.7204988580754393,0.7204988580754393,0.9361162887309358,0.9280956673595928,0.9375109384659963,0.9375109384659963,0.7461897161010799,0.7461897161010799,0.9648174121015103,0.9020268804932112,0.9020268804932112,0.874519501646818,0.8783351520413966,0.8764231738506167,Reference,Estimate
TRUEMYZ149E326FAD5,0.800395187973301,0.7777518997518909,0.6806849894767757,0.6710389475422442,0.574228474178888,0.574228474178888,0.8169331694609676,0.7728879285992566,0.810580778583267,0.7984914949448082,0.7289818199055897,0.7289818199055897,0.8861361567038093,0.8475756326373516,0.8475756326373516,0.6675234950951093,0.6631020580077864,0.6653054307185531,Reference,Estimate
TRUEYTA149E35FAE18,0.8613168471747141,0.8469577229456852,0.8613168471747141,0.8469577229456852,0.6588940975641775,0.6462972721909712,0.8686311328157619,0.8637704204637644,0.8613168471747141,0.8469577229456852,0.6684346744275992,0.6556554510314746,0.8898828279810437,0.8279822168392204,0.8279822168392204,0.7483003336650443,0.7995458883103147,0.7730748009832303,Reference,Estimate
TRUFKEY149E378E8A6,0.9325847461738597,0.9089127141908604,0.9325847461738597,0.9089127141908604,0.9085247018825895,0.8848526698995902,0.9325847461738597,0.9325847461738597,0.9325847461738597,0.9089127141908604,0.9085247018825895,0.8848526698995902,0.9233737918515951,0.9312045186681399,0.9233737918515951,0.8479571303971675,0.8774145589193443,0.862434379973715,Reference,Estimate
TRUFYMI149E32B70B7,0.9892859666655409,0.9892859666655409,0.9892859666655409,0.9892859666655409,0.9844662678920839,0.9844662678920839,0.9892859666655409,0.9892859666655409,0.9892859666655409,0.9892859666655409,0.9844662678920839,0.9844662678920839,0.9899418425573976,0.9844662749537425,0.9844662749537425,0.9725780102218003,0.9676355545546603,0.9701004872389578,Reference,Estimate
TRUGBFN127FA94ED1E,0.6377455949592943,0.6143340953867876,0.4095015148135754,0.39118240028251705,0.40382921638600766,0.3855101018549493,0.6561326065945494,0.5151965575267826,0.7072488831387138,0.6709147292497173,0.6959984395857715,0.6596642856967749,0.6726858852830734,0.8628773372737064,0.6726858852830734,0.5273610626700709,0.4871384315578425,0.5064523785283658,Reference,Estimate
TRUGTIL149E3AD8EC1,0.9366182960996919,0.9186579738219897,0.9366182960996919,0.9186579738219897,0.7789502095951383,0.7615787504433345,0.939455793079517,0.9393750037758097,0.9520353043770409,0.9337793499956607,0.7917719555283319,0.7741145571303611,0.9489302722856354,0.8639150693995076,0.8639150693995076,0.8482080836660285,0.8785445178338583,0.8631098180942289,Reference,Estimate
TRUGWBN149E343DBA9,0.831643108256053,0.8313867195356884,0.831643108256053,0.8313867195356884,0.831643108256053,0.8313867195356884,0.831643108256053,0.831643108256053,0.831643108256053,0.8313867195356884,0.831643108256053,0.8313867195356884,0.8249878337092906,0.9030827342468956,0.8249878337092906,0.7119917031526982,0.7525760907844913,0.7317215834566269,Reference,Estimate
TRUHYGI149E2E3BD08,0.9492245658382794,0.9492245658382794,0.9492245658382794,0.9492245658382794,0.9492245658382794,0.9492245658382794,0.9603566502624528,0.9492245658382794,0.9492245658382794,0.9492245658382794,0.9492245658382794,0.9492245658382794,0.9787160432168595,0.9557430843517055,0.9557430843517055,0.9265012803170327,0.9519347047984469,0.9390458123274905,Reference,Estimate
TRUICDZ149E39A658C,0.7502279341340832,0.6475850989961465,0.6324734458847041,0.6324734458847041,0.4737589258326934,0.4737589258326934,0.7502279341340832,0.7605421091182004,0.9224340436906299,0.9224340436906299,0.8900573635163205,0.8900573635163205,0.7164021889950271,0.9152774989079064,0.7164021889950271,0.5868113565226697,0.5330106963812234,0.5586186286892175,Reference,Estimate
TRUIVFP149E35E2C13,0.9424102020417411,0.9424102020417411,0.8819160989153128,0.8819160989153128,0.8518659435374176,0.8518659435374176,0.9424102020417411,0.9040942026575569,0.9393667096988305,0.9393667096988305,0.9199992830542763,0.9199992830542763,0.9084109537055558,0.9146410062813874,0.9084109537055558,0.8669208749269672,0.8362059545548558,0.851286451711167,Reference,Estimate
TRUIWPF127F8262B35,0.8587744583257871,0.8146371795866617,0.8587744583257871,0.8146371795866617,0.8416703396187354,0.79753306087961,0.8587744583257871,0.8587744583257871,0.8587744583257871,0.8146371795866617,0.8416703396187354,0.79753306087961,0.8753410930912267,0.9279866532164184,0.8753410930912267,0.7352826625324187,0.7286584031187038,0.7319555456058535,Reference,Estimate
TRUIWWH127F8C00FD3,0.8803248472605925,0.8727066116111653,0.8095390884155697,0.8019208527661424,0.7897400607987004,0.7821218251492732,0.912366356731921,0.9173587908413068,0.9208530206593537,0.9121611274400863,0.8982636650906408,0.8895717718713735,0.9334896473873384,0.9002683559595599,0.9002683559595599,0.8231241651034573,0.8194601680973193,0.8212880800905545,Reference,Estimate
